# ----------------------------------------
# All Web Site Data
# User Explorer
# 20161101-20170101
# ----------------------------------------

Client ID,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
1993659048.1478822667,17,00:10:28,11.76%,US$0.00,0,0.00%
271275134.1476157676,17,00:05:42,11.76%,US$0.00,0,0.00%
309728648.1472268776,17,00:23:31,23.53%,US$0.00,0,0.00%
349125951.1477949460,17,00:03:09,52.94%,US$0.00,0,0.00%
38298920.1481032908,17,00:07:05,23.53%,US$0.00,0,0.00%
400365685.1475664425,17,00:05:03,41.18%,US$0.00,0,0.00%
449263747.1482183937,17,00:11:03,0.00%,US$0.00,0,0.00%
509866612.1479994476,17,00:10:57,0.00%,US$0.00,0,0.00%
712257625.1478930182,17,00:03:47,23.53%,US$0.00,0,0.00%
862185022.1477891659,17,00:09:03,29.41%,US$0.00,0,0.00%
873546138.1477146329,17,00:04:21,35.29%,US$0.00,0,0.00%
90306293.1476031271,17,00:02:54,29.41%,US$0.00,0,0.00%
976065523.1478078392,17,00:07:02,17.65%,US$0.00,0,0.00%
997488976.1482579791,17,00:19:41,5.88%,US$0.00,0,0.00%
1071877763.1467300472,16,00:03:20,12.50%,US$0.00,0,0.00%
1163969266.1480483850,16,00:05:05,31.25%,US$0.00,0,0.00%
1179942873.1482542058,16,00:06:26,6.25%,US$0.00,0,0.00%
1182835512.1478074858,16,00:04:43,31.25%,US$0.00,0,0.00%
1409378103.1476961369,16,00:03:57,62.50%,US$0.00,0,0.00%
1428115708.1481408201,16,00:04:54,31.25%,US$0.00,0,0.00%
1663104255.1479334180,16,00:04:41,25.00%,US$0.00,0,0.00%
1677328311.1478838160,16,00:03:37,37.50%,US$0.00,0,0.00%
1684438311.1477932011,16,00:08:36,25.00%,US$0.00,0,0.00%
1824299945.1482479301,16,00:14:36,0.00%,US$0.00,0,0.00%
1865429389.1479649667,16,00:16:59,12.50%,US$0.00,0,0.00%
1875038678.1476090830,16,00:07:41,6.25%,US$0.00,0,0.00%
1904384124.1476769687,16,00:12:13,43.75%,US$0.00,0,0.00%
193056103.1480028721,16,00:11:02,18.75%,US$0.00,0,0.00%
1949184807.1475935299,16,00:02:56,75.00%,US$0.00,0,0.00%
